Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
306.000000	0.000974	1.524000	94.960000	95.453000	1.664000	80.637000	83.588000	
307.000000	0.000969	1.522000	95.340000	95.708000	1.633000	84.986000	85.878000	
308.000000	0.000963	1.529000	94.472000	94.856000	1.654000	82.446000	84.247000	
309.000000	0.000958	1.519000	95.379000	95.699000	1.640000	84.959000	85.913000	
310.000000	0.000953	1.515000	95.693000	95.909000	1.648000	82.613000	84.906000	
311.000000	0.000948	1.517000	95.646000	95.945000	1.637000	82.435000	84.872000	
312.000000	0.000943	1.515000	95.994000	95.988000	1.640000	83.728000	85.461000	
313.000000	0.000937	1.520000	95.396000	95.672000	1.662000	83.373000	84.039000	
314.000000	0.000932	1.516000	95.668000	95.988000	1.625000	83.634000	85.496000	
315.000000	0.000927	1.512000	95.751000	96.015000	1.631000	83.831000	86.433000	
316.000000	0.000922	1.516000	95.568000	95.822000	1.650000	83.906000	84.941000	
317.000000	0.000917	1.516000	95.494000	95.883000	1.639000	83.700000	85.010000	
318.000000	0.000912	1.516000	95.529000	95.892000	1.653000	82.332000	84.490000	
319.000000	0.000907	1.516000	95.715000	95.997000	1.636000	83.169000	85.392000	
320.000000	0.000901	1.513000	95.643000	95.874000	1.676000	80.244000	82.616000	
321.000000	0.000896	1.513000	96.104000	96.234000	1.641000	84.021000	85.635000	
322.000000	0.000891	1.520000	95.110000	95.435000	1.649000	82.976000	84.594000	
323.000000	0.000886	1.514000	95.628000	96.050000	1.635000	85.121000	85.913000	
324.000000	0.000881	1.509000	95.962000	96.111000	1.665000	82.459000	84.386000	
325.000000	0.000876	1.511000	95.980000	96.182000	1.635000	83.309000	85.392000	
326.000000	0.000871	1.515000	95.503000	95.760000	1.645000	82.828000	85.010000	
327.000000	0.000865	1.512000	95.848000	96.094000	1.645000	83.896000	85.427000	
328.000000	0.000860	1.509000	96.113000	96.217000	1.628000	83.977000	85.739000	
329.000000	0.000855	1.506000	96.363000	96.603000	1.617000	84.560000	86.017000	
330.000000	0.000850	1.511000	95.879000	96.138000	1.635000	84.194000	85.739000	
331.000000	0.000845	1.511000	95.698000	95.962000	1.628000	84.308000	86.086000	
332.000000	0.000840	1.511000	96.162000	96.217000	1.623000	84.525000	86.086000	
